"Title","Year","Keywords","Agency"
"Do the Job Effects of Regulation Differ with the Competitive Environment?","2013","Business","Boston"
"Do Walmart Supercenters Improve Food Security?","2019","Food insecurity; Food security; Leverage (statistics); Business; Population; Agricultural economics; Economics; Geography; Environmental health; Agriculture; Medicine; Archaeology; Machine learning; Computer science","Atlanta"
"Do Walmart Supercenters Improve Food Security?","2019","Food insecurity; Food security; Leverage (statistics); Business; Population; Agricultural economics; Economics; Geography; Environmental health; Agriculture; Medicine; Archaeology; Machine learning; Computer science","Atlanta"
"Do Walmart Supercenters Improve Food Security?","2019","Food insecurity; Food security; Leverage (statistics); Business; Population; Agricultural economics; Economics; Geography; Environmental health; Agriculture; Medicine; Archaeology; Machine learning; Computer science","Atlanta"
"Documenting the 1973 and 1978 Surveys of Water Use in Manufacturing (SWUM)","2023","Clean Water Act; Water quality; Quality (philosophy); Clean water; Business; Environmental science; Natural resource economics; Environmental economics; Waste management; Economics; Engineering; Ecology; Biology; Philosophy; Epistemology","Boston"
"Does Capital Market Myopia Affect Plant Productivity? Evidence from Going Private Transactions","2010","Affect (linguistics); Productivity; Business; Capital (architecture); Monetary economics; Economics; Psychology; Geography; Economic growth; Archaeology; Communication","Michigan"
"Does Cleanup of Hazardous Waste Sites Raise Housing Values? Evidence of Spatially Localized Benefits","2013","Percentile; Census tract; Hazardous waste; Census; Value (mathematics); Phase (matter); Distribution (mathematics); Econometrics; Environmental science; Economics; Statistics; Business; Environmental health; Engineering; Mathematics; Waste management; Medicine; Population; Mathematical analysis; Chemistry; Organic chemistry","Chicago"
"Does Cleanup of Hazardous Waste Sites Raise Housing Values? Evidence of Spatially Localized Benefits","2013","Percentile; Census tract; Hazardous waste; Census; Value (mathematics); Phase (matter); Distribution (mathematics); Econometrics; Environmental science; Economics; Statistics; Business; Environmental health; Engineering; Mathematics; Waste management; Medicine; Population; Mathematical analysis; Chemistry; Organic chemistry","Chicago"
"Does Employer Concentration Reduce Labor Force Participation?","2022","Rationality; Isomorphism (crystallography); Organizational field; Cage; Sociology; Political science; Business; Institutional theory; Mathematics; Combinatorics; Social science; Law; Chemistry; Crystal structure; Crystallography","Boston"
"Does Employment Protection Reduce Productivity? Evidence from US States","2007","Productivity; Political science; Economic history; Economics; Economic growth","Boston"
"Does Family Planning Increase Children's Opportunities? Evidence from the War on Poverty and the Early Years of Title X","2016","Poverty; Economic growth; Political science; Demographic economics; Psychology; Economics","Michigan"
"Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment","2015","Regression discontinuity design; Total factor productivity; Natural experiment; Business; Productivity; Finance; External financing; Internal financing; Monetary economics; Economics; Information asymmetry; Economic growth; Medicine; Debt; Statistics; Mathematics; Pathology","Boston"
"Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment","2015","Regression discontinuity design; Total factor productivity; Natural experiment; Business; Productivity; Finance; External financing; Internal financing; Monetary economics; Economics; Information asymmetry; Economic growth; Medicine; Debt; Statistics; Mathematics; Pathology","Boston"
"Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment","2015","Regression discontinuity design; Total factor productivity; Natural experiment; Business; Productivity; Finance; External financing; Internal financing; Monetary economics; Economics; Information asymmetry; Economic growth; Medicine; Debt; Statistics; Mathematics; Pathology","Boston"
"Does Firm Ownership Matter For the Business Cycle?","2019","Corporate governance; Business; Process management; Political science; Finance","Dallas"
"Does Goliath Help David? Anchor Firms and Startup Clusters","2020","Business; Economics; Management","Georgetown"
"Does Goliath Help David? Anchoring Firm Creation","2022","Entrepreneurship; Sustainability; Emerging markets; Greening; Business; Sustainable development; Industrial organization; Economics; Economic system; Political science; Ecology; Finance; Law; Biology","Georgetown"
"Does Human Capital Specificity Affect Employer Capital Structure? Evidence from a Natural Experiment","2012","Computable general equilibrium; Economics; Investment (military); International economics; Per capita; Foreign direct investment; Free trade; Free trade agreement; Real gross domestic product; Liberalization; Gross domestic product; International trade; Agricultural economics; Macroeconomics; Market economy; Population; Demography; Sociology; Politics; Political science; Law","Triangle"
"Does IT Level the Playing Field for Small Establishments? Evidence from Manufacturing","2018","Field (mathematics); Level playing field; Business; Manufacturing engineering; Industrial organization; Operations management; Engineering; Mathematics; Finance; Pure mathematics","Boston"
"Does Military Enlistment Help Minoritized and Women Business Owners? Descriptive Evidence from Vetrepreneur Outcomes","2023","data; firms; employment; business; growth","Texas"
"Does Offshoring Increase Innovation? New Evidence from U.S. Census Microdata","2024","Polarization (electrochemistry); Economics; Earnings; Labour economics; Wage; Service (business); Economy; Chemistry; Accounting; Physical chemistry","Philadelphia"
"Does Parents' Access to Family Planning Increase Children's Opportunities? Evidence from the War On Poverty and the Early Years of Title X","2017","Poverty; Economic growth; Political science; Demographic economics; Psychology; Economics","Michigan"
"Does Parents’ Access to Family Planning Increase Children’s Opportunities? Evidence from the War On Poverty and the Early Years of Title X","2018","Poverty; Geography; Political science; Economic growth; Economics","Michigan"
"Does State Preschool Crowd-Out Private Provision? The Impact of Universal Preschool on the Childcare Sector in Oklahoma and Georgia","2014","Voucher; Subsidy; Government (linguistics); Private sector; Business; Consumption (sociology); Public economics; Intervention (counseling); Economic growth; Economics; Medicine; Nursing; Accounting; Sociology; Social science; Linguistics; Philosophy; Market economy","Berkeley"
"Does State Preschool Crowd-Out Private Provision? The Impact of Universal Preschool on the Childcare Sector in Oklahoma and Georgia","2014","Voucher; Subsidy; Government (linguistics); Private sector; Business; Consumption (sociology); Public economics; Intervention (counseling); Economic growth; Economics; Medicine; Nursing; Accounting; Sociology; Social science; Linguistics; Philosophy; Market economy","Berkeley"
"Does Tribal Gaming Generate Net Benefits?","2022","Wage; Indigenous; Economics; Labour economics; Offset (computer science); Business; Ecology; Computer science; Biology; Programming language","Triangle"
"Does Younger Marriage Affect Divorce? Evidence from Executive Order 11241 and the 'Midnight Marriages'","2019","age at marriage; divorce; Vietnam War","Michigan"
"Does Younger Marriage Affect Divorce? Evidence from Johnson's Executive Order 11241","2021","Spouse; Affect (linguistics); Age at first marriage; Executive order; Military service; Order (exchange); Demographic economics; Psychology; Demography; Economics; Political science; Sociology; Law; Fertility; Population; Communication; Finance","Michigan"
"Domestic Gains from Offshoring? Evidence from TAA-linked U.S. Microdata","2017","Offshoring; Microdata (statistics); Labour economics; Economics; Productivity; Event study; Layoff; Business; Unemployment; Census; Outsourcing; Context (archaeology); Population; Marketing; Paleontology; Demography; Sociology; Biology; Macroeconomics; Economic growth","Michigan"
"Dutch Disease of Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America","2014","Dutch disease; Boom; Economics; Resource curse; Microdata (statistics); Endowment; Economies of agglomeration; Natural resource; Oil boom; Productivity; Natural resource economics; Natural gas prices; Real wages; Manufacturing sector; Economy; Macroeconomics; Natural gas; Census; Microeconomics; Environmental science; Unemployment; Population; Environmental engineering; Exchange rate; Ecology; Biology; Philosophy; Chemistry; Sociology; Epistemology; Demography; Organic chemistry","Baruch"
"Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America","2018","Dutch disease; Boom; Economics; Resource curse; Microdata (statistics); Endowment; Economies of agglomeration; Natural resource; Oil boom; Productivity; Natural resource economics; Natural gas prices; Real wages; Manufacturing sector; Economy; Macroeconomics; Natural gas; Census; Microeconomics; Environmental science; Unemployment; Population; Environmental engineering; Exchange rate; Ecology; Biology; Philosophy; Chemistry; Sociology; Epistemology; Demography; Organic chemistry","Baruch"
"Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America","2018","Dutch disease; Boom; Economics; Resource curse; Microdata (statistics); Endowment; Economies of agglomeration; Natural resource; Oil boom; Productivity; Natural resource economics; Natural gas prices; Real wages; Manufacturing sector; Economy; Macroeconomics; Natural gas; Census; Microeconomics; Environmental science; Unemployment; Population; Environmental engineering; Exchange rate; Ecology; Biology; Philosophy; Chemistry; Sociology; Epistemology; Demography; Organic chemistry","Baruch"
"Dying to Know: Are Workers Paid Their Marginal Product?","2013","Entrepreneurship; Economics; Self-employment; Principal (computer security); Capital (architecture); Inheritance (genetic algorithm); Raising (metalworking); Test (biology); Labour economics; Human capital; Demographic economics; Economic growth; Engineering; Mechanical engineering; Paleontology; Biochemistry; Chemistry; Archaeology; Finance; Biology; Computer science; Gene; History; Operating system","Boston"
"Dynamic Inputs and Resource (Mis)Allocation","2014","Marginal revenue; Volatility (finance); Economics; Revenue; Marginal product; Productivity; Dispersion (optics); Production (economics); Investment (military); Marginal cost; Marginal product of capital; Product (mathematics); Econometrics; Monetary economics; Microeconomics; Macroeconomics; Capital formation; Financial capital; Finance; Profit (economics); Physics; Geometry; Mathematics; Politics; Law; Political science; Optics","Baruch"
"Dynamic Inputs, Misallocation, and Policy: Evidence for Electricity-Intensive Manufacturing","2020","Human capital; Economics; Entrepreneurship; Foundation (evidence); Politics; Capital (architecture); Economic system; Regional development; Political capital; Regional policy; Economic growth; Business; Regional science; Political science; Finance; Sociology; Archaeology; Law; History","Michigan"
"Dynamics of High-Growth Young Firms and the Role of Venture Capitalists","2024","Venture capital; Context (archaeology); High tech; Social venture capital; Capital (architecture); Business; Entrepreneurship; Economics; Business cluster; Industrial organization; Evolutionary dynamics; Economic geography; Finance; Mechanism (biology); Sociology; Political science; Archaeology; History; Paleontology; Population; Philosophy; Demography; Epistemology; Law; Biology","Boston"
"Earnings Adjustment Frictions: Evidence from Social Security Earnings Test","2013","Earnings; Microdata (statistics); Social security; Economics; Incentive; Econometrics; Population; Labour economics; Monetary economics; Demographic economics; Microeconomics; Accounting; Market economy; Demography; Sociology; Census","Boston"
"Earnings Adjustment Frictions: Evidence from the Social Security Earnings Test","2015","Earnings; Social security; Earnings response coefficient; Test (biology); Post-earnings-announcement drift; Earnings quality; Economics; Business; Accounting; Accrual; Market economy; Paleontology; Biology","Boston"
"Earnings Effects of Direct Worker Voice in Production","2023","Redistribution (election); Welfare state; Poverty; Inequality; Welfare; Economics; State (computer science); Economic inequality; Redistribution of income and wealth; Demographic economics; Development economics; Political science; Economic growth; Market economy; Unemployment; Mathematics; Politics; Law; Mathematical analysis; Algorithm","Boston"
"Earnings Growth, Job Flows and Churn","2020","Job creation; Earnings; Earnings growth; Resizing; Labour economics; Economics; Finance; European union; Economic policy","Atlanta"
"Earnings Growth, Job Flows and Churn","2020","Job creation; Earnings; Earnings growth; Resizing; Labour economics; Economics; Finance; European union; Economic policy","Atlanta"
"Earnings Responses to Increases in Payroll Taxes","2006","Taxable income; Earnings; Payroll; Economics; Labour economics; Payroll tax; Social security; Revenue; Deadweight loss; Welfare; Finance; Accounting; Market economy","Boston"
"Earnings Responses to Social Security Reform","2006","Latin Americans; Social security; Political science; Law","Boston"
"Eclipse of Rent-Sharing: The Effects of Managers' Business Education on Wages and the Labor Share in the US and Denmark","2022","Eclipse; Labour economics; Business; Economics; Physics; Astronomy","Maryland"
"Economic and Policy Uncertainty: Export Dynamics and the Value of Agreements","2018","Value (mathematics); Economics; Dynamics (music); International economics; International trade; Econometrics; Microeconomics; Business; Mathematics; Statistics; Physics; Acoustics","Michigan"
"Economic Development Near the Rail Transit Stations: Evidences in the United States During 2002-2013","2018","Prosperity; Developing country; Poverty; China; Urbanization; Land use; Business; Environmental planning; Population; Economic growth; Traffic congestion; Urban planning; Geography; Development economics; Natural resource economics; Transport engineering; Economics; Engineering; Civil engineering; Demography; Archaeology; Sociology","Texas"
"Economic Measurement of AI","2018","Sizing; Photovoltaic system; Identification (biology); Computer science; Artificial intelligence; Machine learning; Meteorology; Engineering; Electrical engineering; Art; Botany; Physics; Visual arts; Biology","Boston"
"Economies before Scale: Survival and Performance of Young Plants in the Age of Cloud Computing","2019","Cloud computing; Economies of scale; Scale (ratio); Economics; Business; Computer science; Geography; Operating system; Microeconomics; Cartography","Boston"
"Educational Attainment and Earnings Inequality among US-Born Men: A Lifetime Perspective","2014","Educational attainment; Earnings; Inequality; Perspective (graphical); Demographic economics; Economics; Educational inequality; Labour economics; Sociology; Economic growth; Mathematics; Mathematical analysis; Geometry; Accounting","Boston"
"Effect of New Psychotropic Pharmaceuticals on Disability Insurance Applications: Evidence from Matched SIPP/Administrative Data","2015","psychotropic; pharmaceuticals; disability insurance; SIPP","Michigan"
"Effects of Federal Funding for English Language Learners on Educational Attainment","2022","Political science; Work (physics); Politics; Comparative education; Regional science; Public administration; Economic growth; Higher education; Sociology; Economics; Engineering; Mechanical engineering; Law","Missouri"
"Effects of new transit lines on commuting: Evidence from restricted-use Census Bureau microdata","2024","Microdata (statistics); Census; Public use; American Community Survey; Geography; Public transport; Natural experiment; Transport engineering; Data collection; Regional science; Demographic economics; Business; Economics; Statistics; Demography; Engineering; Political science; Population; Sociology; Mathematics; Law","Texas"
"Effects of Organizational Structure and Governance on Restaurant Productivity: The Case of Franchising","2013","Theory of the firm; Transaction cost; Incentive; Variety (cybernetics); Asset specificity; Economics; Property rights; Asset (computer security); Investment (military); Microeconomics; Property (philosophy); Industrial organization; Business; Law; Political science; Philosophy; Politics; Computer security; Epistemology; Artificial intelligence; Computer science","Missouri"
"Efficiency and Productivity Growth in US Food Manufacturing Industries: Exporters, Ownership Changes and Firm Characteristics","2023","Productivity; Business; Food processing; Food industry; Industrial organization; Manufacturing; Agricultural economics; Economics; Food science; Marketing; Economic growth; Chemistry","Penn State"
"Efficiency Implications of Corporate Diversification: Evidence from Micro Data","2006","Diversification (marketing strategy); Productive efficiency; Industrial organization; Business; Profit maximization; Profit (economics); Cost efficiency; Microeconomics; Economics; Econometrics; Marketing; Production (economics); Computer science; Operating system","Triangle"
"Elderly Asian and Hispanic Foreign- and Native-Born Living Arrangements: Accounting for Differences","2010","Microdata (statistics); Ethnic group; Demography; Native-Born; Geography; Logistic regression; Foreign born; Demographic economics; Census; Sociology; Population; Medicine; Economics; Anthropology; Internal medicine","Cornell"
"Elderly Immigrants in Rural America:  Trends and Characteristics","2013","Immigration; Metropolitan area; Disadvantaged; Geography; Socioeconomic status; Population; American Community Survey; Demography; Gerontology; Rural area; Socioeconomics; Demographic economics; Medicine; Census; Political science; Sociology; Archaeology; Pathology; Law; Economics","Cornell"
"Electronic Networking Technologies, Innovation Misfit, and Plant Performance","2010","Business; Industrial organization","Michigan"
"Empirical Methods in Business Location Research","2021","Underpinning; Theme (computing); Regional science; Empirical research; Data science; Economic geography; Management science; Sociology; Economics; Computer science; Engineering; Epistemology; Philosophy; Civil engineering; Operating system","Texas"
"Employee Costs of Corporate Bankruptcy","2019","Bankruptcy; Earnings; Wage; Debt; Business; Ex-ante; Capital structure; Economics; Labour economics; Finance; Macroeconomics","Triangle"
"Employee Mobility, Employee Entrepreneurship, and Employee Value Capture: Labor Market Frictions and the Impact of Social Comparison Costs on Compensation","2018","Compensation (psychology); Entrepreneurship; Value (mathematics); Labour economics; Compensation of employees; Business; Business administration; Economics; Finance; Psychology; Machine learning; Computer science; Psychoanalysis","Minnesota"
"Employee Non-compete Agreements, Gender, and Entrepreneurship","2022","Entrepreneurship; Business; Marketing; Small business; Public relations; Labour economics; Economics; Finance; Political science","Baruch"
"Employer Choices of Family Premium Sharing","2006","Business; Economics","Washington"
"Employer Concentration and Labor Force Participation","2022","Rationality; Isomorphism (crystallography); Organizational field; Cage; Sociology; Political science; Business; Institutional theory; Mathematics; Combinatorics; Social science; Law; Chemistry; Crystal structure; Crystallography","Boston"
"Employer Concentration and Labor Force Participation","2022","Rationality; Isomorphism (crystallography); Organizational field; Cage; Sociology; Political science; Business; Institutional theory; Mathematics; Combinatorics; Social science; Law; Chemistry; Crystal structure; Crystallography","Boston"
"Employer Failure and Employee Careers: Evidence From the US Census and an Innovation-Driven Industr","2023","innovation; employer failure; employment","Baruch"
"Employer Growth and Worker Reallocation","2022","Churning; Job creation; Labour economics; Economics","Atlanta"
"Employer Health Benefit Costs and Demand for Part-Time Labor","2009","Labour economics; Labor demand; Business; Economics; Wage","Chicago"
"Employer health benefit costs and demand for part-time labour","2011","Business; Health insurance; Health care; Labour economics; Health benefits; Self-insurance; Economics; Actuarial science; Public economics; Demographic economics; Economic growth; Medicine; Traditional medicine","Chicago"
"Employers' Changing Economic Incentives to Offer Health Insurance under the Affordable Care Act","2016","Workforce; Business; Incentive; Patient Protection and Affordable Care Act; Mandate; Value (mathematics); Labour economics; Health insurance; Tax credit; Insurance policy; Actuarial science; Public economics; Health care; Economics; Microeconomics; Economic growth; Machine learning; Political science; Law; Computer science","Minnesota"
"Employer-Sim Microsimulation Model: Estimates of Tax Subsidies to Employer-Sponsored Health Insurance","2011","Medicaid; Subsidy; Mandate; Health insurance; Patient Protection and Affordable Care Act; Business; American Community Survey; Public economics; Demographic economics; Actuarial science; Health care; Economics; Environmental health; Economic growth; Medicine; Population; Political science; Law; Market economy; Census","Washington"
"Employer-Sim Microsimulation Model: Model Development and Application to Estimation of Tax Subsidies to Health Insurance","2014","Microsimulation; Subsidy; Estimation; Economics; Econometrics; Business; Actuarial science; Engineering; Transport engineering; Management; Market economy","Washington"
"Employer-Sim Microsimulation Model: Model Development and Application to Estimation of Tax Subsidies to Health Insurance","2014","Microsimulation; Subsidy; Estimation; Economics; Econometrics; Business; Actuarial science; Engineering; Transport engineering; Management; Market economy","Washington"
"Employer-sponsored insurance offers: largely stable in 2014 following ACA implementation","2016","Medical Expenditure Panel Survey; Health insurance; Business; Actuarial science; Patient Protection and Affordable Care Act; Self-insurance; Health care; Group insurance; Panel data; Insurance policy; General insurance; Income protection insurance; Economics; Economic growth; Econometrics","Minnesota"
"Employment and Output Leakage Under California's Cap-and-Trade Program","2016","employment; cap-and-trade; output","Boston"
"Employment and Payroll Dynamics in Support Services for Agriculture","2022","Payroll; Dynamism; Agriculture; Productivity; Wage; Production (economics); Business; Service (business); Labour economics; Agricultural productivity; Tertiary sector of the economy; Wage growth; Economics; Agricultural economics; Economic growth; Economy; Geography; Accounting; Archaeology; Quantum mechanics; Macroeconomics; Physics","Wisconsin"
"Employment and Payroll Dynamics in Support Services for Agriculture","2022","Payroll; Dynamism; Agriculture; Productivity; Wage; Production (economics); Business; Service (business); Labour economics; Agricultural productivity; Tertiary sector of the economy; Wage growth; Economics; Agricultural economics; Economic growth; Economy; Geography; Accounting; Archaeology; Quantum mechanics; Macroeconomics; Physics","Wisconsin"
"Employment Decline during the Great Recession: The Role of Firm Size Distribution","2020","Recession; Great recession; Distribution (mathematics); Economics; Labour economics; Demographic economics; Economic geography; Keynesian economics; Mathematical analysis; Mathematics","Michigan"
"Employment Protection, Investment, and Firm Growth","2017","Cash flow; Exploit; Investment (military); Business; The Internet; Capital (architecture); State (computer science); Economics; Labour economics; Finance; Law; Political science; Computer security; Archaeology; Algorithm; Politics; World Wide Web; Computer science; History","Boston"
"Energy Cost Pass-Through in US Manufacturing: Estimates and Implications for Carbon Taxes","2019","Imperfect competition; Competition (biology); Imperfect; Welfare; Economics; Production (economics); Energy (signal processing); Microeconomics; Natural resource economics; Public economics; Market economy; Philosophy; Statistics; Mathematics; Biology; Ecology; Linguistics","Berkeley"
"Energy Prices, Pass-Through, and Incidence in U.S. Manufacturing","2016","Energy (signal processing); Incidence (geometry); Business; Medicine; Mathematics; Statistics; Geometry","Berkeley"
"Energy Star Nitrogenous Fertilizer Plant Energy Performance Indicator","2020","Pollution; Environmental science; Water quality; Turbidity; Spatial variability; Linear discriminant analysis; Surface water; Hydrology (agriculture); Kjeldahl method; Statistics; Mathematics; Environmental engineering; Chemistry; Nitrogen; Ecology; Geotechnical engineering; Organic chemistry; Engineering; Biology","Triangle"
"Enforcing Covenants Not to Compete: The Life-Cycle Impact on New Firms","2014","Covenant; Enforcement; Exploit; Business; Baseline (sea); Industrial organization; State (computer science); Control (management); Economics; Computer science; Law; Management; Computer security; Algorithm; Political science","UCLA"
"Entrepreneurial Spillovers from Corporate R&D","2024","R&D; research; development; spillovers; entrepreneurship","Fed Board"
"Entrepreneurial Spillovers from Corporate R&D","2024","R&D; research; development; spillovers; entrepreneurship","Fed Board"
"Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach","2017","Business; Knowledge management; Computer science; Process management","Minnesota"
"Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach","2017","Business; Knowledge management; Computer science; Process management","Minnesota"
"Entrepreneurial teams' acquisition of talent: Evidence from technology manufacturing industries using a two-sided approach","2023","Earnings; Context (archaeology); Salary; Marketing; Business; Quality (philosophy); Matching (statistics); Wage; Industrial organization; Economics; Labour economics; Accounting; Paleontology; Philosophy; Statistics; Mathematics; Epistemology; Market economy; Biology","Minnesota"
"Entrepreneurial Teams' Human Capital: From its Formation to its Impact on the Performance of Technological New Ventures","2015","Human capital; New Ventures; Business; Industrial organization; Knowledge management; Entrepreneurship; Engineering; Economics; Computer science; Market economy; Finance","Minnesota"
"Entrepreneurial Wages","2018","Business; Labour economics; Economics","Fed Board"
"Entrepreneurship and Urban Growth: An Empirical Assessment with Historical Mines","2015","Entrepreneurship; Endogeneity; Economic geography; Scale (ratio); Coal mining; Economics; Economy; Geography; Coal; Econometrics; Finance; Cartography; Archaeology","Boston"
"Entrepreneurship and Urban Growth: An Empirical Assessment with Historical Mines","2015","Entrepreneurship; Endogeneity; Economic geography; Scale (ratio); Coal mining; Economics; Economy; Geography; Coal; Econometrics; Finance; Cartography; Archaeology","Boston"
"Entrepreneurship as Experimentation","2014","Entrepreneurship; CONTEST; Incentive; Agency (philosophy); Economics; Investment (military); Industrial organization; Microeconomics; Neoclassical economics; Sociology; Political science; Finance; Law; Politics; Social science","Boston"
"Entry and Exit in the Ready-Mix Concrete Industry","2007","Economics; Smoothing; Oligopoly; Volatility (finance); Policy mix; Econometrics; Microeconomics; Investment (military); Monetary economics; Industrial organization; Macroeconomics; Cournot competition; Politics; Computer science; Political science; Law; Computer vision","Chicago"
"Entry and Exit of Manufacturing Plants over the Business Cycle","2015","Business cycle; Recession; Boom; Margin (machine learning); Economics; Productivity; Selection (genetic algorithm); Industrial organization; Monetary economics; Macroeconomics; Engineering; Computer science; Machine learning; Environmental engineering; Artificial intelligence","Michigan"
"Entry Costs and Increasing Trade","2016","Microdata (statistics); Economics; Census; Estimation; International trade; Demography; Population; Management; Sociology","Michigan"
"Entry Costs and Increasing Trade","2016","Microdata (statistics); Economics; Census; Estimation; International trade; Demography; Population; Management; Sociology","Michigan"
"Entry, Expansion, and Intensity in the U.S. Export Boom, 1987-1992","2004","Boom; Economics; Productivity; Sunk costs; International economics; Intensity (physics); International trade; Monetary economics; Macroeconomics; Engineering; Microeconomics; Physics; Quantum mechanics; Environmental engineering","Boston"
"Environmental Disasters and Entrepreneurial Career Choices","2020","Tenacity (mineralogy); Psychology; Passion; Structural equation modeling; Resource (disambiguation); Self-efficacy; Entrepreneurship; Social psychology; Marketing; Management; Business; Economics; Computer network; Statistics; Materials science; Mathematics; Finance; Computer science; Composite material","Texas"
"Environmental Health Risk and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings","2015","Mile; Air quality index; Natural resource economics; Environmental science; Air pollution; Agricultural economics; Economics; Business; Geography; Ecology; Meteorology; Biology; Geodesy","Michigan"
"Environmental Justice: Do Poor and Minority Populations Face More Hazards?","2012","Enforcement; Environmental justice; Demographics; Demographic economics; Sample (material); Economic Justice; Pollution; Geography; Natural resource economics; Economics; Ecology; Demography; Biology; Sociology; Chemistry; Neoclassical economics; Chromatography","Boston"
"Environmental Performance or Productivity Loss?","2016","Environmental science; Cropping; Agronomy; Greenhouse gas; Agriculture; Nitrogen; Manure; Fertilizer; Yield (engineering); Crop yield; Cropping system; Mulch; Agroforestry; Crop; Ecology; Biology; Chemistry; Materials science; Organic chemistry; Metallurgy","Boston"
"Environmental Regulation and Industry Employment: A Reassessment","2013","Census; Environmental regulation; Economics; Public economics; Business; Actuarial science; Environmental health; Medicine; Population","Boston"
"Environmental Regulation and Product Mix: Evidence from the Census of Manufactures","2012","Stylized fact; Competitor analysis; Panel data; Environmental regulation; Environmental compliance; Economics; Manufacturing; Porter hypothesis; Control (management); Industrial organization; Compliance (psychology); Business; Public economics; Marketing; Econometrics; Macroeconomics; Management; Psychology; Social psychology; Political science; Law","Boston"
"Environmental Regulation, Abatement, and Productivity: A Frontier Analysis","2013","Frontier; Productivity; Environmental regulation; Natural resource economics; Economics; Environmental science; Business; Geography; Economic growth; Archaeology","Boston"
"Environmental Regulations and Employment in the Pulp and Paper Industry: Evidence from the Cluster Rule","2018","Subsidy; Restructuring; Industrial policy; Argument (complex analysis); Incentive; Externality; Government (linguistics); Private sector; Foreign direct investment; Investment (military); Economic policy; Public economics; Economics; Business; Market economy; Economic growth; Politics; Macroeconomics; Political science; Microeconomics; Finance; Biochemistry; Chemistry; Linguistics; Philosophy; Law","Boston"
"Environmental Regulations and Technological Change: Pulp and Paper Mills and EPA’s Cluster Rule","2020","Pollution; Technological change; Environmental science; Econometrics; Effluent; Energy intensity; Sample (material); Environmental economics; Environmental engineering; Natural resource economics; Economics; Mathematics; Statistics; Energy (signal processing); Chemistry; Ecology; Chromatography; Biology; Macroeconomics","Boston"
"Errors in Survey Reporting and Imputation and their Effects on Estimates of Food Stamp Program Participation","2018","Imputation (statistics); Food Stamp Program; Econometrics; Statistics; Accounting; Actuarial science; Business; Psychology; Food stamps; Political science; Missing data; Economics; Mathematics; Law; Welfare","Chicago"
"Essay in Applied Microeconomics","2019","Economics; Mathematical economics; Microeconomics; Neoclassical economics","Stanford"
"Essays in Business Lending","2020","Lever; Corporate governance; Debt; Business; Financial system; Accounting; Finance; Engineering; Mechanical engineering","Atlanta"
"Essays in Economic Geography","2015","Economies of agglomeration; Sorting; Real estate; Residential real estate; Economic geography; Urban economics; Order (exchange); Economics; Econometrics; Productivity; Geography; Metric (unit); Computer science; Microeconomics; Operations management; Economic growth; Finance; Programming language","Boston"
"Essays in Empirical International Trade and Entrepreneurship","2020","Geography","Philadelphia"
"Essays in Housing Markets and the Real Economy","2020","Mathematical economics; Sociology; Operations research; Economics; Mathematics","Berkeley"
"Essays in International Trade and Financial Development","2014","East Asia; Deregulation; Liberalization; China; Financial integration; Foreign direct investment; Financial market; Capital account; International finance; Capital market; International economics; Economics; Investment (military); Exchange rate; Business; Financial system; International trade; Finance; Political science; Market economy; Politics; Macroeconomics; Law","Michigan"
"Essays in Macroeconomics","2023","Computer science; Sociology","Missouri"
"Essays in Macroeconomics and International Trade","2016","Economics; Keynesian economics; Macroeconomics","Baruch"
"Essays in Private Capital","2023","State (computer science); Power (physics); Politics; Sociology; Demise; State of exception; Subject (documents); Aesthetics; Media studies; History; Law; Political science; Computer science; Philosophy; Physics; Algorithm; Quantum mechanics; Library science","Baruch"
"Essays in Public Economics and International Trade","2018","Public choice; Political science; Law; Politics","Baruch"
"ESSAYS IN URBAN ECONOMICS","2020","Economics; Sociology; Positive economics","Atlanta"
"Essays in Urban Economics and International Trade","2023","Geography; History","Berkeley"
"Essays on Awards and Achievement","2018","Liberalism; History of political thought; Relevance (law); Politics; Intellectual history; Embodied cognition; Classical liberalism; Epistemology; Classics; Sociology; Philosophy; Law; Political philosophy; History; Political science","Minnesota"
"Essays on College Majors and the Labor Market","2022","Rationality; Isomorphism (crystallography); Organizational field; Cage; Sociology; Political science; Business; Institutional theory; Mathematics; Combinatorics; Social science; Law; Chemistry; Crystal structure; Crystallography","Michigan"
"Essays on Development and Labor Economics","2019","Poverty; Economics; Development economics; Rural poverty; Economic growth","Triangle"
"Essays on Dynamic Macroeconomics","2020","Economics; Social security; Equity (law); Equity premium puzzle; Labour economics; Bond; Monetary economics; Risk premium; Finance; Market economy; Political science; Law","Minnesota"
"Essays on E-Commerce and Retail","2019","Digital economy; China; Business; Commercialization; The Internet; Business model; E-commerce; Commerce; Marketing; Political science; World Wide Web; Computer science; Law","Triangle"
