title,year,datasets,display_author_names,raw_author_names,doi,abstract,institution_display_names,raw_affiliation_strings,detailed_affiliations,original_keywords,original_agency,keywords
Estimating Adjustment Frictions Using Non-Linear Budget Sets: Method and Evidence from the Earnings Test,2020,,,,https://doi.org/10.3386/w10766,,"University of California, Berkeley; National Bureau of Economic Research","University of California, Berkeley - Haas School of Business;  National Bureau of Economic Research (NBER)","University of California, Berkeley - Haas School of Business;  National Bureau of Economic Research (NBER)",Financial intermediary; Causality (physics); Economics; Intermediary; Subject matter; Growth theory; Empirical evidence; Financial market; Finance; Financial economics; Neoclassical economics; Economic growth; Philosophy; Physics; Epistemology; Quantum mechanics; Curriculum,Boston,"Financial intermediary, Causality (physics), Economics, Intermediary, Subject matter, Growth theory, Empirical evidence, Financial market, Finance, Financial economics, Neoclassical economics, Economic growth, Philosophy, Physics, Epistemology, Quantum mechanics, Curriculum"
Estimating Determinants of Establishment Locations of Transportation and Warehousing Industries Using U.S. Administrative Data,2022,,,,https://doi.org/10.1093/qje/qjz041,,Centre for Economic Policy Research; Harvard University Press; KU Leuven; Pompeu Fabra University; National Bureau of Economic Research; Institució Catalana de Recerca i Estudis Avançats,"Universitat Pompeu Fabra Barcelona (Catalan Institution for Research and Advanced Studies, Graduate School of Economics); Harvard University; Katholieke Universiteit Leuven, National Bureau of Economic Research, and Centre for Economic Policy Research","Universitat Pompeu Fabra Barcelona (Catalan Institution for Research and Advanced Studies, Graduate School of Economics); Harvard University; Katholieke Universiteit Leuven, National Bureau of Economic Research, and Centre for Economic Policy Research",Context (archaeology); Decentralization; Census; Business; Transportation infrastructure; Regional science; Data warehouse; Transport engineering; Economic geography; Industrial organization; Geography; Computer science; Economics; Engineering; Database; Population; Demography; Archaeology; Sociology; Market economy,Texas,"Economics, Market power, Dynamism, Markup language, Monetary economics, Wage share, Market share, Profitability index, Distribution (mathematics), Profit (economics), Marginal cost, Labour economics, Microeconomics, Monopoly, Wage, Mathematical analysis, Physics, Mathematics, Finance, Quantum mechanics, Computer science, XML, Efficiency wage, Operating system"
Estimating Determinants of Establishment Locations of Transportation and Warehousing Industries Using U.S. Administrative Data,2022,,,,https://doi.org/10.1093/qje/qjz041,,Centre for Economic Policy Research; Harvard University Press; KU Leuven; Pompeu Fabra University; National Bureau of Economic Research; Institució Catalana de Recerca i Estudis Avançats,"Universitat Pompeu Fabra Barcelona (Catalan Institution for Research and Advanced Studies, Graduate School of Economics); Harvard University; Katholieke Universiteit Leuven, National Bureau of Economic Research, and Centre for Economic Policy Research","Universitat Pompeu Fabra Barcelona (Catalan Institution for Research and Advanced Studies, Graduate School of Economics); Harvard University; Katholieke Universiteit Leuven, National Bureau of Economic Research, and Centre for Economic Policy Research",Context (archaeology); Decentralization; Census; Business; Transportation infrastructure; Regional science; Data warehouse; Transport engineering; Economic geography; Industrial organization; Geography; Computer science; Economics; Engineering; Database; Population; Demography; Archaeology; Sociology; Market economy,Texas,"Economics, Market power, Dynamism, Markup language, Monetary economics, Wage share, Market share, Profitability index, Distribution (mathematics), Profit (economics), Marginal cost, Labour economics, Microeconomics, Monopoly, Wage, Mathematical analysis, Physics, Mathematics, Finance, Quantum mechanics, Computer science, XML, Efficiency wage, Operating system"
Estimating determinants of healthcare establishment locations with restricted federal administrative data,2021,,,,https://doi.org/10.1002/hec.4242,,University of Wyoming; Texas A&M University; Michigan State University,"Department of Agricultural and Applied Economics, University of Wyoming, Laramie, Wyoming, USA; Texas A&amp;M University College Station Texas; Department of Agricultural, Food, and Resource Economics, Michigan State University, East Lansing, Michigan, US","Department of Agricultural and Applied Economics, University of Wyoming, Laramie, Wyoming, USA; Texas A&amp;M University College Station Texas; Department of Agricultural, Food, and Resource Economics, Michigan State University, East Lansing, Michigan, US",Medicaid; Health care; Negative binomial distribution; Business; Population; Interdependence; Public economics; Poisson distribution; Actuarial science; Economic growth; Economics; Medicine; Environmental health; Statistics; Political science; Mathematics; Law,Texas,"Medicaid, Health care, Negative binomial distribution, Business, Population, Interdependence, Public economics, Poisson distribution, Actuarial science, Economic growth, Economics, Medicine, Environmental health, Statistics, Political science, Mathematics, Law"
Estimating Market Power: Evidence from the U.S. Brewing Industry,2017,,,,https://doi.org/10.1086/296307,,,,,Economics; Econometrics,Baruch,"Economics, Econometrics"
Estimating Market Power: Evidence from the U.S. Brewing Industry,2017,,,,https://doi.org/10.1086/296307,,,,,Economics; Econometrics,Baruch,"Economics, Econometrics"
Estimating Plant Level Energy Efficiency with a Stochastic Frontier,2008,,,,https://doi.org/10.5547/issn0195-6574-ej-vol29-no2-2,,Triangle; Duke University,"* Director, Triangle Census Research Data Center, Duke University, Department of Economics, Box 90097, Durham NC 27708, E-mail: gab7@econ.duke.edu","* Director, Triangle Census Research Data Center, Duke University, Department of Economics, Box 90097, Durham NC 27708, E-mail: gab7@econ.duke.edu",Measure (data warehouse); Inefficiency; Energy intensity; Energy (signal processing); Computer science; Stochastic frontier analysis; Econometrics; Parametric statistics; Best practice; Industrial engineering; Statistics; Data mining; Production (economics); Mathematics; Economics; Engineering; Management; Microeconomics; Macroeconomics,Triangle,"Measure (data warehouse), Inefficiency, Energy intensity, Energy (signal processing), Computer science, Stochastic frontier analysis, Econometrics, Parametric statistics, Best practice, Industrial engineering, Statistics, Data mining, Production (economics), Mathematics, Economics, Engineering, Management, Microeconomics, Macroeconomics"
Estimating the cost of environmental regulations and technological change with limited information,2023,,,,https://doi.org/10.1016/j.ecolecon.2022.107550,,ICF International (United States); San Diego State University; Environmental Protection Agency,"ICF, Fairfax, VA 22013, United States of America; American Clean Power Association, Washington, DC 20005, United States of America; U.S. Environmental Protection Agency, Washington, DC 20460, United States of America; Department of Economics, San Diego State University, San Diego, CA 92182, United States of America","ICF, Fairfax, VA 22013, United States of America; American Clean Power Association, Washington, DC 20005, United States of America; U.S. Environmental Protection Agency, Washington, DC 20460, United States of America; Department of Economics, San Diego State University, San Diego, CA 92182, United States of America",Pollution; Environmental science; Technological change; Production (economics); Econometrics; Environmental economics; Effluent; Natural resource economics; Computer science; Environmental engineering; Economics; Microeconomics; Ecology; Artificial intelligence; Biology,Boston,"Pollution, Environmental science, Technological change, Production (economics), Econometrics, Environmental economics, Effluent, Natural resource economics, Computer science, Environmental engineering, Economics, Microeconomics, Ecology, Artificial intelligence, Biology"
Estimating the Distribution of Plant-Level Manufacturing Energy Efficiency with Stochastic Frontier Regression,2007,,,,https://doi.org/10.2139/ssrn.1015593,,Duke University, Duke University - Department of Economics, Duke University - Department of Economics,Econometrics; Distribution (mathematics); Regression; Frontier; Statistics; Regression analysis; Mathematics; Environmental science; Economics; Geography; Archaeology; Mathematical analysis,Chicago,"Econometrics, Distribution (mathematics), Regression, Frontier, Statistics, Regression analysis, Mathematics, Environmental science, Economics, Geography, Archaeology, Mathematical analysis"
Estimating the Impact of Low-Income Universal Service Programs,2014,,,,https://doi.org/10.1016/j.ijindorg.2014.07.009,,"Université Libre de Bruxelles; Economic Policy Institute; Columbia University; Michigan United; University of Nevada, Las Vegas; University of Michigan–Ann Arbor","University of Michigan, United States; Columbia University, United States; Université Libre de Bruxelles (ECARES), Belgium; University of Nevada, Las Vegas, United States; Stanford Institute for Economic Policy Research, United States","University of Michigan, United States; Columbia University, United States; Université Libre de Bruxelles (ECARES), Belgium; University of Nevada, Las Vegas, United States; Stanford Institute for Economic Policy Research, United States",Microdata (statistics); Subsidy; Demographics; Endogeneity; Universal service; Economics; Internet access; Business; Poverty; Demographic economics; Census; The Internet; Econometrics; Economic growth; Telecommunications; Computer science; Population; Demography; Sociology; World Wide Web; Market economy,Baruch,"Microdata (statistics), Subsidy, Demographics, Endogeneity, Universal service, Economics, Internet access, Business, Poverty, Demographic economics, Census, The Internet, Econometrics, Economic growth, Telecommunications, Computer science, Population, Demography, Sociology, World Wide Web, Market economy"
Estimating the Impact of Low-Income Universal Service Programs,2014,,,,https://doi.org/10.1016/j.ijindorg.2014.07.009,,"Université Libre de Bruxelles; Economic Policy Institute; Columbia University; Michigan United; University of Nevada, Las Vegas; University of Michigan–Ann Arbor","University of Michigan, United States; Columbia University, United States; Université Libre de Bruxelles (ECARES), Belgium; University of Nevada, Las Vegas, United States; Stanford Institute for Economic Policy Research, United States","University of Michigan, United States; Columbia University, United States; Université Libre de Bruxelles (ECARES), Belgium; University of Nevada, Las Vegas, United States; Stanford Institute for Economic Policy Research, United States",Microdata (statistics); Subsidy; Demographics; Endogeneity; Universal service; Economics; Internet access; Business; Poverty; Demographic economics; Census; The Internet; Econometrics; Economic growth; Telecommunications; Computer science; Population; Demography; Sociology; World Wide Web; Market economy,Baruch,"Microdata (statistics), Subsidy, Demographics, Endogeneity, Universal service, Economics, Internet access, Business, Poverty, Demographic economics, Census, The Internet, Econometrics, Economic growth, Telecommunications, Computer science, Population, Demography, Sociology, World Wide Web, Market economy"
Estimating the Job Impacts of Environmental Regulation,2015,,,,https://doi.org/10.1017/bca.2015.14,,Clark University; Abt Global (United States); Duke University; Resources For The Future,"Abt Associates, Inc., 4550 Montgomery Ave #800N, Bethesda, MD 20814, USA; Resources for the Future, 1616 P Street, NW, Washington, DC 20036, USA; Department of Economics, Clark University, 950 Main Street, Worcester, MA 01610, USA; Sanford School of Public Policy, Duke University, 190 Rubinstein Hall, 302 Towerview Road, Durham, NC 27708, USA","Abt Associates, Inc., 4550 Montgomery Ave #800N, Bethesda, MD 20814, USA; Resources for the Future, 1616 P Street, NW, Washington, DC 20036, USA; Department of Economics, Clark University, 950 Main Street, Worcester, MA 01610, USA; Sanford School of Public Policy, Duke University, 190 Rubinstein Hall, 302 Towerview Road, Durham, NC 27708, USA",Liberian dollar; Economics; Agency (philosophy); Job creation; Intuition; Public economics; Labour economics; Finance; Philosophy; Epistemology,Boston,"Liberian dollar, Economics, Agency (philosophy), Job creation, Intuition, Public economics, Labour economics, Finance, Philosophy, Epistemology"
Estimating Unequal Gains across U.S. Consumers with Supplier Trade Data,2018,,,,https://doi.org/10.17016/ifdp.2018.1220,,Federal Reserve Board of Governors; Federal Reserve,Board of Governors of the Federal Reserve System (U.S.),Board of Governors of the Federal Reserve System (U.S.),Economics; Inflation (cosmology); Consumption (sociology); Product (mathematics); Welfare; Goods and services; Monetary economics; International economics; Economy; Social science; Physics; Geometry; Mathematics; Sociology; Theoretical physics; Market economy,Michigan,"Economics, Inflation (cosmology), Consumption (sociology), Product (mathematics), Welfare, Goods and services, Monetary economics, International economics, Economy, Social science, Physics, Geometry, Mathematics, Sociology, Theoretical physics, Market economy"
Evaluating Estimates of Materials Offshoring from U.S. Manufacturing,2012,,,,https://doi.org/10.3386/w17916,,"University of California, Davis; National Bureau of Economic Research","Department of Economics University of California, Davis One Shields Avenue Davis, CA 95616 and; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138","Department of Economics University of California, Davis One Shields Avenue Davis, CA 95616 and; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138",Offshoring; Business; Manufacturing engineering; Engineering; Outsourcing; Marketing,Boston,"Offshoring, Business, Manufacturing engineering, Engineering, Outsourcing, Marketing"
Evaluating Estimates of Materials Offshoring from U.S. Manufacturing,2012,,,,https://doi.org/10.3386/w17916,,"University of California, Davis; National Bureau of Economic Research","Department of Economics University of California, Davis One Shields Avenue Davis, CA 95616 and; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138","Department of Economics University of California, Davis One Shields Avenue Davis, CA 95616 and; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138",Offshoring; Business; Manufacturing engineering; Engineering; Outsourcing; Marketing,Boston,"Offshoring, Business, Manufacturing engineering, Engineering, Outsourcing, Marketing"
Evaluating the efficiency and effectiveness of environmental policies for global and local air pollutants,2023,,,,https://doi.org/10.1016/s0140-6736(17)32345-0,,"Icahn School of Medicine at Mount Sinai; McGill University; Center for Environmental Health; Consortium of Universities for Global Health; Renmin University of China; Spanish National Centre for Cardiovascular Research; Columbia University; Stockholm Resilience Centre; National Institutes of Health; National Institute of Environmental Health Sciences; Children's Medical Research Institute; United Nations Industrial Development Organization; Center for Children; Ministry of Public Health; Maastricht University; New York University; The University of Queensland; London School of Hygiene & Tropical Medicine; University of Ottawa; Centennial Medical Group; Eurostat; Institute for Health Metrics and Evaluation; Chulabhorn Research Institute; University of Chicago; Simon Fraser University; Indian Institute of Technology Delhi; Pure Earth; University of Antananarivo; Resources For The Future; University of Arizona; Johns Hopkins University; Ludwig-Maximilians-Universität München; University of Maryland, College Park; New York Academy of Medicine; Massachusetts Institute of Technology; World Bank; Boston College; Stockholm University; University of Oxford; LMU Klinikum; Environmental Health; University of California, Berkeley; University of Ghana","Faculty of Agricultural and Environmental Sciences, McGill University, Montreal, Canada; Centennial Group, Washington, DC, USA; Department of Economics, University of Maryland, College Park, MD, USA; Department of Health, Nutrition, and Population Global Practice, The World Bank, Washington, DC, USA; Department of Environmental Medicine and Global Health, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Mexico City, Mexico; Nuffield Department of Population Health, University of Oxford, Oxford, UK; Ministry of Environment and Sustainable Development, Dakar, Senegal; Environmental Health Sciences Division, School of Public Health, University of California, Berkeley, CA, USA; Arnhold Institute for Global Health, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Department of Social and Environmental Health Research and Department of Population Health, London School of Hygiene & Tropical Medicine, London, UK; Department of Biology, Boston College, Chestnut Hill, MA, USA; Institute and Outpatient Clinic for Occupational, Social and Environmental Medicine, University Hospital of LMU Munich, Munich, Germany; Children's Health and Environment Program, Child Health Research Centre, University of Queensland, Brisbane, QLD, Australia; Chulabhorn Research Institute, Bangkok, Thailand; Department of Chemical and Environmental Engineering, University of Arizona, Tucson, AZ, USA; Mount Sinai Heart, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Parliament of India, New Delhi, India; Office of the President, Manila, Philippines; New YorkAcademy of Medicine, New York, NY, USA; School of Social Work, Boston College, Chestnut Hill, MA, USA; Office of the US Executive Director, The World Bank, Washington, DC, USA; School of Environment and Natural Resources, Renmin University of China, Beijing, China; The Resources Center, Lalitpur, Nepal; Columbia Center for Children's Environmental Health, Department of Environmental Health Sciences, Mailman School of Public Health, Columbia University, New York, NY, USA; Care and Public Health Research Institute, Maastricht University, Maastricht, the Netherlands; Department of Environmental Health and Engineering, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA; Health Investment & Financing Corporation, New York, NY, USA; Pure Earth, New York, NY, USA; Guarini Center on Environmental, Energy, and Land Use Law, New York University, New York, NY, USA; Faculty of Health Sciences, Simon Fraser University, Burnaby, BC, Canada; Scientific Committee on Health, Environmental and Emerging Risks of the European Commission, Luxembourg City, Luxembourg; Office of the Minister of Health, Ministry of Public Health, Doha, Qatar; Consortium of Universities for Global Health, Washington, DC, USA; SYSTEMIQ, London, UK; Division of Extramural Research and Training, National Institute of Environmental Health Sciences, National Institutes of Health, Research Triangle Park, NC, USA; Department of Economics, University of Chicago, Chicago, IL, USA; Department of Biological, Environmental and Occupational Health Sciences, School of Public Health, University of Ghana, Accra, Ghana; Stockholm Resilience Centre, Stockholm University, Stockholm, Sweden; Department of Public Health, Health Services Research and Health Technology Assessment, University for Health Sciences, Medical Informatics and Technology, Hall in Tirol, Austria; Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid, Spain; Oxford Martin School, University of Oxford, Oxford, UK; Faculty of Common Law, University of Ottawa, Ottawa, ON, Canada; Ministry of the Health and Social Affairs, Dakar, Senegal; Resources for the Future, Washington, DC, USA; UN International Resource Panel, Paris, France; Department of Health Policy and Management, Mailman School of Public Health, Columbia University, New York, NY, USA; Ministry of Environment, Ecology and Forests, Antananarivo, Madagascar; Department of Civil Engineering, Indian Institute of Technology, Delhi, India; Department of Biological Engineering and Department of Biology, Center for Environmental Health Sciences, Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA, USA; United Nations Industrial Development Organization, Vienna, Austria; Institute for Health Metrics, Seattle, WA, USA","Faculty of Agricultural and Environmental Sciences, McGill University, Montreal, Canada; Centennial Group, Washington, DC, USA; Department of Economics, University of Maryland, College Park, MD, USA; Department of Health, Nutrition, and Population Global Practice, The World Bank, Washington, DC, USA; Department of Environmental Medicine and Global Health, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Mexico City, Mexico; Nuffield Department of Population Health, University of Oxford, Oxford, UK; Ministry of Environment and Sustainable Development, Dakar, Senegal; Environmental Health Sciences Division, School of Public Health, University of California, Berkeley, CA, USA; Arnhold Institute for Global Health, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Department of Social and Environmental Health Research and Department of Population Health, London School of Hygiene & Tropical Medicine, London, UK; Department of Biology, Boston College, Chestnut Hill, MA, USA; Institute and Outpatient Clinic for Occupational, Social and Environmental Medicine, University Hospital of LMU Munich, Munich, Germany; Children's Health and Environment Program, Child Health Research Centre, University of Queensland, Brisbane, QLD, Australia; Chulabhorn Research Institute, Bangkok, Thailand; Department of Chemical and Environmental Engineering, University of Arizona, Tucson, AZ, USA; Mount Sinai Heart, Icahn School of Medicine at Mount Sinai, New York, NY, USA; Parliament of India, New Delhi, India; Office of the President, Manila, Philippines; New YorkAcademy of Medicine, New York, NY, USA; School of Social Work, Boston College, Chestnut Hill, MA, USA; Office of the US Executive Director, The World Bank, Washington, DC, USA; School of Environment and Natural Resources, Renmin University of China, Beijing, China; The Resources Center, Lalitpur, Nepal; Columbia Center for Children's Environmental Health, Department of Environmental Health Sciences, Mailman School of Public Health, Columbia University, New York, NY, USA; Care and Public Health Research Institute, Maastricht University, Maastricht, the Netherlands; Department of Environmental Health and Engineering, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA; Health Investment & Financing Corporation, New York, NY, USA; Pure Earth, New York, NY, USA; Guarini Center on Environmental, Energy, and Land Use Law, New York University, New York, NY, USA; Faculty of Health Sciences, Simon Fraser University, Burnaby, BC, Canada; Scientific Committee on Health, Environmental and Emerging Risks of the European Commission, Luxembourg City, Luxembourg; Office of the Minister of Health, Ministry of Public Health, Doha, Qatar; Consortium of Universities for Global Health, Washington, DC, USA; SYSTEMIQ, London, UK; Division of Extramural Research and Training, National Institute of Environmental Health Sciences, National Institutes of Health, Research Triangle Park, NC, USA; Department of Economics, University of Chicago, Chicago, IL, USA; Department of Biological, Environmental and Occupational Health Sciences, School of Public Health, University of Ghana, Accra, Ghana; Stockholm Resilience Centre, Stockholm University, Stockholm, Sweden; Department of Public Health, Health Services Research and Health Technology Assessment, University for Health Sciences, Medical Informatics and Technology, Hall in Tirol, Austria; Centro Nacional de Investigaciones Cardiovasculares Carlos III, Madrid, Spain; Oxford Martin School, University of Oxford, Oxford, UK; Faculty of Common Law, University of Ottawa, Ottawa, ON, Canada; Ministry of the Health and Social Affairs, Dakar, Senegal; Resources for the Future, Washington, DC, USA; UN International Resource Panel, Paris, France; Department of Health Policy and Management, Mailman School of Public Health, Columbia University, New York, NY, USA; Ministry of Environment, Ecology and Forests, Antananarivo, Madagascar; Department of Civil Engineering, Indian Institute of Technology, Delhi, India; Department of Biological Engineering and Department of Biology, Center for Environmental Health Sciences, Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA, USA; United Nations Industrial Development Organization, Vienna, Austria; Institute for Health Metrics, Seattle, WA, USA",Environmental health; Pollution; Commission; Environmental pollution; Malaria; Environmental protection; Economic growth; Medicine; Geography; Political science; Law; Economics; Immunology; Ecology; Biology,UCLA,"Environmental health, Pollution, Commission, Environmental pollution, Malaria, Environmental protection, Economic growth, Medicine, Geography, Political science, Law, Economics, Immunology, Ecology, Biology"
Evaluating the Employment Impact of Rail Transit Investment: A Longitudinal Analysis in the United States,2016,,,,https://doi.org/10.1177/0160017604273626,,"University of California, Davis","Department of Environmental Science and Policy, University of California, Davis,","Department of Environmental Science and Policy, University of California, Davis,",Urban sprawl; Smart growth; Land use; Transport engineering; Connection (principal bundle); Business; Environmental planning; Architectural engineering; Engineering; Geography; Civil engineering; Structural engineering,Texas,"Urban sprawl, Smart growth, Land use, Transport engineering, Connection (principal bundle), Business, Environmental planning, Architectural engineering, Engineering, Geography, Civil engineering, Structural engineering"
"Evaluating the 'Export Destination"" field in the 1997 Commodity Flow Survey",2003,,,,https://doi.org/10.1257/jep.21.3.105,,London School of Economics and Political Science; Dartmouth College; Peterson Institute for International Economics; Yale University; National Bureau of Economic Research,"Economics, London School of Economics, and Research Fellow, Center for Economic Policy Research, both in London, United Kingdom.; Reader in Economics, London School of Economics, and Research Fellow, Center for Economic Policy Research, both in London, United Kingdom.; Professor of Economics, School of Management, Yale University, New Haven Connecticut, and Research Associate, National Bureau of Economic Research, Cambridge, Massachusetts.; Peterson Institute for International Economics, Washington, D.C.; Professor of International Economics, Tuck School of Business, Dartmouth College, Hanover, New Hampshire, and Research Associate,; National Bureau of Economic Research, Cambridge, Massachusetts.; Peterson Institute for International Economics, Washington, D.; Jack Byrne Professor of International Economics, Tuck School of Business, Dartmouth College, Hanover, New Hampshire, and Research Associate, National Bureau of Economic Research, Cambridge, Massachusetts.","Economics, London School of Economics, and Research Fellow, Center for Economic Policy Research, both in London, United Kingdom.; Reader in Economics, London School of Economics, and Research Fellow, Center for Economic Policy Research, both in London, United Kingdom.; Professor of Economics, School of Management, Yale University, New Haven Connecticut, and Research Associate, National Bureau of Economic Research, Cambridge, Massachusetts.; Peterson Institute for International Economics, Washington, D.C.; Professor of International Economics, Tuck School of Business, Dartmouth College, Hanover, New Hampshire, and Research Associate,; National Bureau of Economic Research, Cambridge, Massachusetts.; Peterson Institute for International Economics, Washington, D.; Jack Byrne Professor of International Economics, Tuck School of Business, Dartmouth College, Hanover, New Hampshire, and Research Associate, National Bureau of Economic Research, Cambridge, Massachusetts.",Stylized fact; New trade theory; Productivity; Production (economics); International economics; Trade barrier; International trade; Economics; Distribution (mathematics); Business; Macroeconomics; Mathematical analysis; Mathematics,Washington,"Stylized fact, New trade theory, Productivity, Production (economics), International economics, Trade barrier, International trade, Economics, Distribution (mathematics), Business, Macroeconomics, Mathematical analysis, Mathematics"
Evaluating the Great Micro Moderation,2023,,,,https://doi.org/10.2139/ssrn.4585714,,,,,Moderation; Psychology; Social psychology,Boston,"Moderation, Psychology, Social psychology"
Evaluating the Impact of Manufacturing Extension Services on Establishment Performance,2018,,,,https://doi.org/10.1177/0891242417744050,,Healthcentric Advisors; University of Manchester; American Institutes for Research; Georgia Institute of Technology,"Greenfield Advisors, Cartersville, GA, USA; University of Manchester, Manchester, UK; Greenfield Advisors, Seattle, WA, USA; American Institutes for Research, Washington, DC, USA; Georgia Institute of Technology, Atlanta, GA, USA","Greenfield Advisors, Cartersville, GA, USA; University of Manchester, Manchester, UK; Greenfield Advisors, Seattle, WA, USA; American Institutes for Research, Washington, DC, USA; Georgia Institute of Technology, Atlanta, GA, USA",Productivity; Receipt; Business; General partnership; Goods and services; Service (business); Tertiary sector of the economy; Manufacturing sector; Manufacturing; Labour economics; Economics; Operations management; Marketing; Economic growth; Finance; Accounting; Economy,Atlanta,"Productivity, Receipt, Business, General partnership, Goods and services, Service (business), Tertiary sector of the economy, Manufacturing sector, Manufacturing, Labour economics, Economics, Operations management, Marketing, Economic growth, Finance, Accounting, Economy"
Evaluating the Impact of MEP Services on Establishment Performance: A Preliminary Empirical Investigation,2012,,,,https://doi.org/10.2139/ssrn.2160471,,SRI International; Georgia Institute of Technology,SRI International; Georgia Institute of Technology,SRI International; Georgia Institute of Technology,Business; Empirical research; Psychology; Mathematics; Statistics,Washington,"Business, Empirical research, Psychology, Mathematics, Statistics"
Evaluating the Long-Term Effect of NIST MEP Services on Establishment Performance,2015,,,,https://doi.org/10.2139/ssrn.2592023,,Georgia Institute of Technology; The University of Melbourne; Institut de Recherche et d’Innovation; Capital University; University of Manchester,University of Melbourne; The University of Manchester - Alliance Manchester Business School; Georgia Institute of Technology; The University of Manchester - Manchester Institute of Innovation Research; Bartow Street Capital LLC; Georgia Institute of Technology - School of Public Policy,University of Melbourne; The University of Manchester - Alliance Manchester Business School; Georgia Institute of Technology; The University of Manchester - Manchester Institute of Innovation Research; Bartow Street Capital LLC; Georgia Institute of Technology - School of Public Policy,NIST; Term (time); Business; Computer science; Speech recognition; Physics; Quantum mechanics,Atlanta,"NIST, Term (time), Business, Computer science, Speech recognition, Physics, Quantum mechanics"
Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970,2017,,,,https://doi.org/10.3386/w19858,,"United States Department of the Treasury; University of California, Santa Barbara; University of California, Berkeley; National Bureau of Economic Research; Robert Wood Johnson Foundation","Haas School of Business University of California, Berkeley 2220 Piedmont Ave Berkeley, CA 94720; IZA, the Robert Wood Johnson Foundation, the AEA meetings,; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Office of Tax Analysis U.S. Department of the Treasury 1500 Pennsylvania Ave., NW Washington, DC 20220; Department of Economics 2127 North Hall University of California Santa Barbara, CA 93106-9210","Haas School of Business University of California, Berkeley 2220 Piedmont Ave Berkeley, CA 94720; IZA, the Robert Wood Johnson Foundation, the AEA meetings,; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Office of Tax Analysis U.S. Department of the Treasury 1500 Pennsylvania Ave., NW Washington, DC 20220; Department of Economics 2127 North Hall University of California Santa Barbara, CA 93106-9210",Liberian dollar; Earnings; Term (time); Air pollution; Pollution; Environmental science; Demographic economics; Economics; Finance; Biology; Physics; Quantum mechanics; Ecology; Chemistry; Organic chemistry,Berkeley,"Liberian dollar, Earnings, Term (time), Air pollution, Pollution, Environmental science, Demographic economics, Economics, Finance, Biology, Physics, Quantum mechanics, Ecology, Chemistry, Organic chemistry"
Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970,2017,,,,https://doi.org/10.3386/w19858,,"United States Department of the Treasury; University of California, Santa Barbara; University of California, Berkeley; National Bureau of Economic Research; Robert Wood Johnson Foundation","Haas School of Business University of California, Berkeley 2220 Piedmont Ave Berkeley, CA 94720; IZA, the Robert Wood Johnson Foundation, the AEA meetings,; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Office of Tax Analysis U.S. Department of the Treasury 1500 Pennsylvania Ave., NW Washington, DC 20220; Department of Economics 2127 North Hall University of California Santa Barbara, CA 93106-9210","Haas School of Business University of California, Berkeley 2220 Piedmont Ave Berkeley, CA 94720; IZA, the Robert Wood Johnson Foundation, the AEA meetings,; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Office of Tax Analysis U.S. Department of the Treasury 1500 Pennsylvania Ave., NW Washington, DC 20220; Department of Economics 2127 North Hall University of California Santa Barbara, CA 93106-9210",Liberian dollar; Earnings; Term (time); Air pollution; Pollution; Environmental science; Demographic economics; Economics; Finance; Biology; Physics; Quantum mechanics; Ecology; Chemistry; Organic chemistry,Berkeley,"Liberian dollar, Earnings, Term (time), Air pollution, Pollution, Environmental science, Demographic economics, Economics, Finance, Biology, Physics, Quantum mechanics, Ecology, Chemistry, Organic chemistry"
