Title,Year,Agency,Keywords
Spillovers from Costly Credit,2012,Chicago,spillovers costly;credit
Spillovers from Costly Credit,2013,Chicago,spillovers costly;credit
Spillovers from Costly Credit,2018,Chicago,spillovers costly;credit
Do the Job Effects of Regulation Differ with the Competitive Environment?,2013,Boston,regulation differ;job effects
Do EPA Regulations Affect Labor Demand? Evidence from the Pulp and Paper Industry,2013,Boston,regulations affect;evidence pulp;affect labor;demand
"Environmental Regulation, Abatement, and Productivity: A Frontier Analysis",2013,Boston,regulation abatement;productivity frontier
Do EPA Regulations Affect Labor Demand? Evidence from the Pulp and Paper Industry,2014,Boston,regulations affect;evidence pulp;affect labor;demand
Measuring the Impact of the Toxics Release Inventory: Evidence from Manufacturing Plant Births,2013,Boston,toxics release;manufacturing;evidence;impact
Environmental Performance or Productivity Loss?,2016,Boston,productivity loss;performance productivity
The Effect of Environmental Regulation on Plant-Level Product Mix: A Study of EPA's Cluster Rule,2017,Boston,study epa;level product;cluster rule;effect
Spatial Patterns in Regulatory Enforcement: Local Tests of Environmental Justice,2012,Boston,tests environmental;spatial patterns;regulatory enforcement
Environmental Regulation and Product Mix: Evidence from the Census of Manufactures,2012,Boston,regulation product;product mix;mix evidence
Environmental Regulation and Industry Employment: A Reassessment,2013,Boston,regulation industry;reassessment
Estimating the Job Impacts of Environmental Regulation,2015,Boston,regulation;job impacts
Environmental Justice: Do Poor and Minority Populations Face More Hazards?,2012,Boston,populations face;poor minority;minority populations
Export Prices of U.S. Firms,2011,Baruch,prices firms;export prices
Export Prices of U.S. Firms,2011,Baruch,prices firms;export prices
Foreign Direct Investment Relationship and Plant Exit: Evidence from the United States,2012,Washington,united states;foreign direct;direct investment;evidence
The Productivity Advantage and Global Scope of U.S. Multinational Firms,2011,Washington,scope multinational;productivity advantage
Industrial Concentration of Ethnic Minority- and Women-Owned Businesses in the United States,2013,Triangle,women owned;industrial concentration
"Beyond Ethnic Enclaves? Exploring the Spatial Distribution of
Latino-Owned Employer Firms in Two U.S. Immigration Gateways",2013,Triangle,spatial distribution;exploring spatial;distribution latino;employer
Industrial Concentration of Ethnic Minority- and Women-Owned Businesses: Evidence from the Survey of Business Owners in the United States,2013,Triangle,women owned;industrial concentration;business owners;businesses;concentration ethnic
Transnational Activities of Immigrant-Owned Firms and Their Performances in the USA,2015,Triangle,usa;transnational activities
Job Referral Networks and the Determination of Earnings in Local Labor Markets,2012,Cornell,referral networks;networks determination;markets
Job Referral Networks and the Determination of Earnings in Local Labor Markets,2015,Cornell,referral networks;networks determination;markets
Job Referral Networks and the Determination of Earnings in Local Labor Markets,2010,Cornell,referral networks;networks determination;markets
Acquiring Labor,2013,Michigan,labor;acquiring
The Option to Quit: The Effect of Employee Stock Options on Turnover,2018,Michigan,turnover;stock options;quit effect
Acquiring Labor,2011,Michigan,labor;acquiring
Broad-Based Employee Stock Ownership: Motives and Outcomes,2014,Michigan,stock ownership;ownership motives
Acquiring Labor,2020,Michigan,labor;acquiring
The Option to Quit: The Effect of Employee Stock Options on Turnover,2014,Michigan,turnover;stock options;quit effect
The Location of Displaced New Orleans Residents in the Year after Hurricane Katrina,2012,Michigan,year hurricane;residents year;orleans residents
The Location of Displaced New Orleans Residents in the Year after Hurricane Katrina,2014,Michigan,year hurricane;residents year;orleans residents
"The Effect of Hurricane Katrina on the Prevalence of Health Impairments and Disability Among Adults in New Orleans: Differences by Age, Race, and Sex",2013,Michigan,sex;hurricane;adults new;age;differences;disability;effect
Migration and Dispersal of Hispanic and Asian Groups: An Analysis of the 2006-2008 Multiyear American Community Survey,2011,Michigan,survey;community;2006 2008;2008 multiyear;american
Educational Attainment and Earnings Inequality among US-Born Men: A Lifetime Perspective,2014,Boston,perspective;men lifetime;inequality born
Misclassification in Binary Choice Models,2017,Chicago,models;misclassification binary
Misclassification in Binary Choice Models,2013,Chicago,models;misclassification binary
Errors in Survey Reporting and Imputation and their Effects on Estimates of Food Stamp Program Participation,2018,Chicago,survey reporting;imputation;effects estimates;errors;estimates food
A Method of Correcting for Misreporting Applied to the Food Stamp Program,2013,Chicago,stamp program;misreporting applied;method correcting
Bias in Food Stamps Participation Estimates in the Presence of Misreporting Error,2013,Chicago,stamps participation;presence misreporting;participation estimates
A Method of Correcting for Misreporting Applied to the Food Stamp Program,2012,Chicago,stamp program;misreporting applied;method correcting
Misclassification in Binary Choice Models,2015,Chicago,models;misclassification binary
Bias in Food Stamp Participation Estimates in the Presence of Misreporting Error,2012,Chicago,stamp participation;presence misreporting;participation estimates
Errors in Survey Reporting and Imputation and Their Effects on Estimates of Food Stamp Program Participation,2011,Chicago,survey reporting;imputation;effects estimates;errors;estimates food
Domestic Gains from Offshoring? Evidence from TAA-linked U.S. Microdata,2017,Michigan,taa linked;offshoring evidence
Three Essays on Offshore Outsourcing and Labor Markets,2009,Michigan,outsourcing labor;offshore outsourcing
Gains from Offshoring? Evidence from U.S. Microdata,2014,Michigan,offshoring evidence;microdata
Gains from Offshoring? Evidence from U.S. Microdata,2013,Michigan,offshoring evidence;microdata
The Urban Density Premium across Establishments,2016,Cornell,urban density;premium establishments
The Urban Density Premium across Establishments,2014,Cornell,urban density;premium establishments
The Role of Industry Classification in the Estimation of Research and Development Expenditures,2014,Washington,role industry;research development;industry classification
Allocation of Company Research and Development Expenditures to Industries Using a Tobit Model,2015,Washington,using tobit;expenditures industries;allocation company;company research
Capital and Labor Reallocation within Firms,2015,Boston,reallocation firms;labor reallocation
Soft Information and Investment: Evidence from Plant-Level Data,2010,Boston,soft information;plant level
Soft Information and Investment: Evidence from Plant-Level Data,2011,Boston,soft information;plant level
Proximity and Investment: Evidence from Plant-Level Data,2011,Boston,proximity investment;plant level
Capital and Labor Reallocation Inside Firms,2013,Boston,reallocation inside;labor reallocation
Capital and Labor Reallocation Inside Firms,2013,Boston,reallocation inside;labor reallocation
Proximity and Investment: Evidence from Plant-Level Data,2013,Boston,proximity investment;plant level
Reallocation and Technology: Evidence from the U.S. Steel Industry,2015,Baruch,technology evidence;steel industry
Reallocation and Technology: Evidence from the U.S. Steel Industry,2013,Baruch,technology evidence;steel industry
Dynamic Inputs and Resource (Mis)Allocation,2014,Baruch,resource mis;mis allocation
Reallocation and Technology: Evidence from the U.S. Steel Industry,2013,Baruch,technology evidence;steel industry
Plant Exit and U.S. Imports from Low-wage Countries,2017,UCLA,wage countries;plant exit
Cheap Imports and the Loss of U.S. Manufacturing Jobs,2016,UCLA,manufacturing jobs;loss manufacturing
Cheap Imports and the Loss of U.S. Manufacturing Jobs,2015,UCLA,manufacturing jobs;loss manufacturing
Task Trade and the Wage Effects of Import Competition,2016,UCLA,wage effects;trade wage
Plant Exit and U.S. Imports from Low-Wage Countries,2016,UCLA,wage countries;plant exit
Really Uncertain Business Cycles,2014,Berkeley,uncertain business;really uncertain
Really Uncertain Business Cycles,2012,Berkeley,uncertain business;really uncertain
Really Uncertain Business Cycles,2018,Berkeley,uncertain business;really uncertain
Fluctuations in Uncertainty,2014,Berkeley,uncertainty;fluctuations
Changes in Firm Pension Policy: Trends Away from Traditional Defined Benefit Plans,2012,Michigan,trends away;firm;away traditional;benefit;changes
Changes in Firm Pension Policy: Trends Away from Traditional Defined Benefit Plans,2011,Michigan,trends away;firm;away traditional;benefit;changes
Do Housing Prices Reflect Environmental Health Risks? Evidence From More Than 1600 Toxic Plant Openings and Closings,2013,Michigan,toxic plant;housing prices;1600 toxic;closings;environmental;evidence
"Environmental Health Risk and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",2015,Michigan,values evidence;housing;600 toxic;closings;environmental
Do Housing Prices Reflect Environmental Health Risks? Evidence From More Than 1600 Toxic Plant Openings and Closings,2012,Michigan,toxic plant;housing prices;1600 toxic;closings;environmental;evidence
Do Housing Prices Reflect Environmental Health Risks? Evidence From More Than 1600 Toxic Plant Openings and Closings,2013,Michigan,toxic plant;housing prices;1600 toxic;closings;environmental;evidence
Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment,2014,Boston,spur small;financing;business productivity
Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment,2013,Boston,spur small;financing;business productivity
Does Financing Spur Small Business Productivity? Evidence from a Natural Experiment,2015,Boston,spur small;financing;business productivity
The Early Childhood Care and Education Workforce: Understanding Changes from 1990 through 2010,2013,Berkeley,workforce understanding;childhood;1990 2010;care
Does State Preschool Crowd-Out Private Provision? The Impact of Universal Preschool on the Childcare Sector in Oklahoma and Georgia,2012,Berkeley,preschool;universal;childcare sector;crowd;does
Does State Preschool Crowd-Out Private Provision? The Impact of Universal Preschool on the Childcare Sector in Oklahoma and Georgia,2014,Berkeley,preschool;universal;childcare sector;crowd;does
Evaluating the Impact of MEP Services on Establishment Performance: A Preliminary Empirical Investigation,2012,Washington,services establishment;impact mep;empirical investigation;establishment performance
Intra-Firm Spillovers? The Stock and Flow Effects of Collocation,2017,Baruch,stock flow;spillovers stock
Intra-Firm Spillovers? The Stock and Flow Effects of Collocation,2015,Baruch,stock flow;spillovers stock
The Bright Side of Corporate Diversification: Evidence from Internal Labor Markets,2015,UCLA,markets;labor;internal
Female Leadership and Gender Equity: Evidence from Plant Closure,2012,UCLA,plant closure;leadership gender;gender equity
The Human Factor in Acquisitions: Cross-Industry Labor Mobility and Corporate Diversification,2015,UCLA,mobility corporate;factor;acquisitions cross
The Bright Side of Corporate Diversification: Evidence from Internal Labor Markets,2013,UCLA,markets;labor;internal
Female Leadership and Gender Equity: Evidence from Plant Closure,2015,UCLA,plant closure;leadership gender;gender equity
The Bright Side of Corporate Diversification: Evidence from Internal Labor Markets,2012,UCLA,markets;labor;internal
Nonparametric Generation of Synthetic Data for Small Geographic Areas,2014,Michigan,synthetic data;small geographic;nonparametric generation
Synthetic Data for Small Area Estimation in the American Community Survey,2013,Michigan,synthetic data;survey;small area
Generating Synthetic Microdata to Estimate Small Area Statistics in the American Community Survey,2014,Michigan,synthetic microdata;generating;american community;area;community survey
The Transitional Costs of Sectoral Reallocation: Evidence from the Clean Air Act and the Workforce,2012,Baruch,workforce;costs sectoral;air;clean
The Transitional Costs of Sectoral Reallocation: Evidence from the Clean Air Act and the Workforce,2013,Baruch,workforce;costs sectoral;air;clean
Disentangling Labor Supply and Demand Shifts Using Spatial Wage Dispersion: The Case of Oil Price Shocks,2013,Texas,wage dispersion;oil price;case oil;demand;disentangling;dispersion case
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2017,Texas,slow hire;responses news;quick employment
The Cyclicality of Productivity Dispersion,2011,Texas,productivity dispersion;cyclicality productivity
The Cyclical Nature of the Productivity Distribution,2015,Texas,productivity distribution;nature productivity
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2018,Texas,slow hire;responses news;quick employment
"Returns to Scale, Productivity and Competition: Empirical Evidence from U.S. Manufacturing and Construction Establishments",2017,Texas,scale productivity;evidence;competition empirical;construction
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2017,Texas,slow hire;responses news;quick employment
Financial Frictions and Investment Dynamics in Multi-Plant Firms,2013,Texas,plant firms;multi plant
"Slow to Hire, Quick to Fire: Employment Dynamics with Asymmetric Responses to News",2015,Texas,slow hire;responses news;quick employment
Should My Car Move or Should I? A Model of Residential and Commuting Choices,2013,Triangle,residential commuting;model residential
Employer-Sim Microsimulation Model: Model Development and Application to Estimation of Tax Subsidies to Health Insurance,2012,Washington,model;tax subsidies;health insurance;application estimation;development
Employer-Sim Microsimulation Model: Model Development and Application to Estimation of Tax Subsidies to Health Insurance,2014,Washington,model;tax subsidies;health insurance;application estimation;development
Employer-Sim Microsimulation Model: Estimates of Tax Subsidies to Employer-Sponsored Health Insurance,2011,Washington,employer;tax;estimates
Income Effects in Labor Supply: Evidence from Child-Related Tax Benefits,2016,Berkeley,tax benefits;income;child
Income Effects on Maternal Labor Supply: Evidence from Child-Related Tax Benefits,2017,Berkeley,tax benefits;income effects;child
"'It's Not You, It's Me': Breakups in U.S.-China Trade Relationships",2014,Michigan,trade relationships;china trade
Multinational Firms in Context,2013,Michigan,multinational firms;firms context
Firms' Exporting Behavior under Quality Constraints,2011,Michigan,quality constraints;firms exporting
Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2015,Michigan,transmission shocks;input linkages;2011 tohoku
The Structure of Export Entry Costs,2013,Michigan,structure export;export entry
Product and Process Productivity: Implications for Quality Choice and Conditional Exporter Premia,2013,Michigan,quality choice;implications quality;choice conditional;conditional exporter
Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2015,Michigan,transmission shocks;input linkages;2011 tohoku
Globalization and Top Income Shares,2013,Michigan,shares;income
Identifying Foreign Suppliers in U.S. Merchandise Import Transactions,2015,Michigan,transactions;suppliers merchandise
Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2019,Michigan,transmission shocks;input linkages;2011 tohoku
Essays on Multinational Production and the Propagation of Shocks,2015,Michigan,shocks;propagation
"'It's Not You, It's Me': Breakups in U.S.-China Trade Relationships",2016,Michigan,trade relationships;china trade
The Role of Global Supply Chains in the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2016,Michigan,transmission shocks;global supply;2011 tohoku;chains;earthquake
U.S. Firm Exports and Intellectual Property Rights,2013,Michigan,rights;property
Essays in International Trade and Financial Development,2014,Michigan,trade financial;international trade
"Multinationals, Offshoring, and the Decline of U.S. Manufacturing",2015,Michigan,offshoring decline;multinationals offshoring
Globalization and Top Income Shares,2020,Michigan,shares;income
Essays on Multinationals and International Spillovers,2018,Michigan,spillovers;multinationals international
Testing for Factor Price Equality with Unobserved Differences in Factor Quality or Productivity,2012,Michigan,factor;unobserved differences;testing;quality productivity
Entry Costs and Increasing Trade,2011,Michigan,trade;increasing
The Structure and Evolution of Entry Costs in Trade,2023,Michigan,trade;structure evolution
Globalization and Top Income Shares,2014,Michigan,shares;income
"“It's Not You, It's Me”: Prices, Quality, and Switching in U.S.-China Trade Relationships",2022,Michigan,trade relationships;switching china
Testing for Factor Price Equality with Unobserved Differences in Factor Quality or Productivity,2013,Michigan,factor;unobserved differences;testing;quality productivity
Impacts of Unionization on Quality and Productivity: Regression Discontinuity Evidence From Nursing Homes,2013,Boston,unionization quality;nursing;discontinuity evidence;homes
Estimating Adjustment Frictions Using Non-Linear Budget Sets: Method and Evidence from the Earnings Test,2020,Boston,using non;frictions;budget;earnings;estimating
The Surprising Impacts of Unionization: Evidence from Matched Employer-Employee Data,2014,Boston,unionization evidence;surprising impacts
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2015,Boston,work;people;measures
Weathering the Great Recession: Variation in Employment Responses by Establishments and Countries,2017,Boston,weathering great;variation employment;responses establishments
Earnings Adjustment Frictions: Evidence from the Social Security Earnings Test,2015,Boston,earnings;test;social security
Essays on Labor and Public Economics,2013,Boston,public economics;labor public
The Surprising Impacts of Unionization: Evidence from Matched Employer-Employee Data,2021,Boston,unionization evidence;surprising impacts
Weathering the Great Recession: Variation in Employment Responses by Establishments and Countries,2016,Boston,weathering great;variation employment;responses establishments
The Expanding Gender Earnings Gap: Evidence from the LEHD-2000 Census,2017,Boston,lehd 2000;gender earnings
It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S,2014,Boston,work increases;individuals
It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S,2014,Boston,work increases;individuals
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2018,Boston,work;people;measures
It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S,2014,Boston,work increases;individuals
R&D Spillovers and Labor Mobility,2017,Boston,spillovers labor;mobility
Immigration and Employer Transitions for STEM Workers,2013,Boston,workers;transitions stem
Mandated Benefits and Firm Behavior: Evidence from Business Regulations and the Universe of U.S. Firms,2013,Boston,universe firms;evidence business;behavior evidence;benefits
The Effects of Scientists and Engineers on Productivity and Earnings at the Establishment Where They Work,2017,Boston,work;scientists engineers;productivity earnings
The Dynamics of Gender Earnings Differentials: Evidence from Establishment Data,2021,Boston,gender earnings;evidence establishment;establishment data
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2016,Boston,work;people;measures
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2018,Boston,work;people;measures
Earnings Adjustment Frictions: Evidence from Social Security Earnings Test,2013,Boston,earnings;test;social security
Impacts of Unionization on Quality and Productivity: Regression Discontinuity Evidence from Nursing Homes,2015,Boston,unionization quality;nursing;discontinuity evidence;homes
The Effects of Scientists and Engineers on Productivity and Earnings at the Establishment Where They Work,2018,Boston,work;scientists engineers;productivity earnings
The Location and Agglomeration of Industrial R&D,2016,Boston,location agglomeration;industrial
The Dynamics of Gender Earnings Differentials: Evidence from Establishment Data,2017,Boston,gender earnings;evidence establishment;establishment data
It’s Where You Work: Increases in the Dispersion of Earnings across Establishments and Individuals in the United States,2016,Boston,work increases;united states;individuals united
Dying to Know: Are Workers Paid Their Marginal Product?,2013,Boston,workers paid;product
Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America,2015,Baruch,resource booms;economic;agglomeration local;america;booms modern
Dutch Disease of Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America,2014,Baruch,resource booms;economic;agglomeration local;america;booms modern
Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America,2018,Baruch,resource booms;economic;agglomeration local;america;booms modern
The Impact of Immigration on the Labor Market Outcomes of Native Workers: Evidence Using Longitudinal Data from the LEHD,2016,Triangle,workers evidence;lehd;evidence using;immigration;impact;labor
Urban Immigrant Diversity and Inclusive Institutions,2016,Triangle,urban immigrant;institutions
Immigrant Diversity and Complex Problem Solving,2016,Triangle,solving;problem
Spillovers from Immigrant Diversity in Cities,2015,Triangle,spillovers immigrant;immigrant diversity
Spillovers from Immigrant Diversity in Cities,2015,Triangle,spillovers immigrant;immigrant diversity
Spillovers from Immigrant Diversity in Cities,2018,Triangle,spillovers immigrant;immigrant diversity
"Cities, Immigrant Diversity and Complex Problem Solving",2017,Triangle,solving;problem
The Economic Geography of Immigrant Diversity: Disparate Impacts and New Directions,2017,Triangle,new directions;impacts new;immigrant diversity
Urban Immigrant Diversity and Inclusive Institutions,2017,Triangle,urban immigrant;institutions
Disconnected Geography: A Spatial Analysis of Disconnected Youth in the United States,2016,Triangle,disconnected;youth united;united states
Disconnected Geography: A Spatial Analysis of Disconnected Youth in the United States,2016,Triangle,disconnected;youth united;united states
Intergenerational Transmission of Race: Permeable Boundaries between 1970 and 2010,2012,Minnesota,transmission race;race permeable;permeable boundaries
The Case of the Missing Ethnicity: Indians Without Tribes in the 21st Century,2011,Minnesota,tribes 21st;missing ethnicity;indians tribes
"On the Boundaries of Race: Identification of Mixed-Heritage Children in the United States, 1960 to 2010",2016,Minnesota,united states;heritage children;1960 2010
More than a Million New American Indians in 2000: Who Are They?,2013,Minnesota,new american;million new
American Indians Without Tribes in the Twenty-First Century,2013,Minnesota,tribes century;indians tribes
More than One Million New American Indians in 2000: Who Are They?,2014,Minnesota,new american;million new
"College Graduates, Local Retailers, and Community Belonging in the United States",2014,Chicago,united states;retailers community;local retailers
Do Public Tuition Subsidies Promote College Enrollment? Evidence from Community College Taxing Districts in Texas,2014,Michigan,college;tuition;community;districts;enrollment;evidence
Effect of New Psychotropic Pharmaceuticals on Disability Insurance Applications: Evidence from Matched SIPP/Administrative Data,2015,Michigan,sipp administrative;evidence matched;administrative data;applications;disability
"Essays on the  Labor Market, Public Policy, and
Economic Opportunity",2019,Michigan,public policy;policy economic;opportunity
Does Human Capital Specificity Affect Employer Capital Structure? Evidence from a Natural Experiment,2012,Triangle,capital;structure evidence;affect employer;does;evidence natural
Strong Employers and Weak Employees: How Does Employer Concentration Affect Wages?,2018,Triangle,weak employees;employees does;affect wages
"The Real Effects of Hedge Fund Activism: Productivity, Asset Allocation, and Labor Outcomes",2015,Triangle,real effects;fund;activism productivity;allocation;asset
Strong Employers and Weak Employees: How Does Employer Concentration Affect Wages?,2018,Triangle,weak employees;employees does;affect wages
How Does Labor Market Size Affect Firm Capital Structure? Evidence from Large Plant Openings,2015,Triangle,structure evidence;labor;affect firm;capital;does
How Does Labor Market Size Affect Firm Capital Structure? Evidence from Large Plant Openings,2015,Triangle,structure evidence;labor;affect firm;capital;does
The Employee Costs of Corporate Bankruptcy,2021,Triangle,employee costs;costs corporate
Strong Employers and Weak Employees: How Does Employer Concentration Affect Wages?,2022,Triangle,weak employees;employees does;affect wages
"The Real Effects of Hedge Fund Activism: Productivity, Risk, and Product Market Competition",2011,Triangle,risk product;hedge fund;activism productivity;competition;effects
Why Did Rent-Sharing Vanish in the U.S.?,2017,Triangle,vanish;sharing
Human Capital Loss in Corporate Bankruptcy,2013,Triangle,loss corporate;human capital
The Labor Impact of Corporate Bankruptcy,2015,Triangle,labor impact;impact corporate
"The Real Effects of Hedge Fund Activism: Productivity, Risk, and Product Market Competition",2012,Triangle,risk product;hedge fund;activism productivity;competition;effects
Employee Costs of Corporate Bankruptcy,2019,Triangle,employee costs;costs corporate
The Dynamics of the U.S. Broiler Industry,2013,Triangle,industry;dynamics broiler
The Effects of Productivity and Demand-Specific Factors on Plant Survival and Ownership Change in the U.S. Poultry Industry,2015,Triangle,survival ownership;change poultry;demand;effects
Productivity or Demand: Determinants of Plant Survival and Ownership Change in the U.S. Poultry Industry,2015,Triangle,survival ownership;change poultry;demand;determinants
Income Packaging and Economic Disconnection: Do Sources of Support Differ from Other Low-Income Women?,2013,Baruch,income;women;support differ
Moving In and Out of Welfare and Work: The Influence of Regional Socioeconomic Circumstances on Economic Disconnection among Low-Income Single Mothers,2017,Baruch,work influence;low income;circumstances economic;disconnection;income single
Income Packaging Strategies of Economically Disconnected Women and Implications for Social Policy and Practice,2014,Baruch,women implications;packaging;disconnected women;economically;implications social
How Transferable Is Human Capital? Evidence from Spinout Performance,2020,UCLA,transferable human;spinout performance
Enforcing Covenants Not to Compete: The Life-Cycle Impact on New Firms,2014,UCLA,new firms;life cycle
Selection in the Incidence and Performance of Spinouts,2015,UCLA,spinouts;selection incidence
Three Essays on Covenants Not to Compete,2014,UCLA,essays covenants;covenants compete
"Screening Spinouts? How Noncompete Enforceability Affects the Creation, Growth, and Survival of New Firms",2018,UCLA,survival new;growth survival;affects creation;creation growth;enforceability
Spinout Formation: Do Opportunities and Constraints Benefit High Capital Founders?,2015,UCLA,spinout formation;opportunities constraints;high capital
Locked In? The Enforceability of Covenants Not to Compete and the Careers of High-Tech Workers,2022,UCLA,workers;tech
Incidence and Performance of Spinouts and Incumbent New Ventures: Role of Selection and Redeployability within Parent Firms,2021,UCLA,ventures role;performance;incidence;incumbent;new
"Human Capital, Parent Size, and the Destination Industry of Spinouts",2020,UCLA,spinouts;size destination;parent size
Human Capital of Spinouts,2015,UCLA,spinouts;human capital
Locked In? The Enforceability of Covenants Not to Compete and the Careers of High-Tech Workers,2017,UCLA,workers;tech
"Creation, Growth, and Destruction: The Life-Cycle Impact of Enforcing Covenants Not to Compete on Spin-Outs and Other New Ventures",2013,UCLA,ventures;enforcing covenants;compete spin;covenants compete
The Role of Agents and Brokers in the Market for Health Insurance,2018,Minnesota,role agents;market health
The Role of Agents and Brokers in the Market for Health Insurance,2013,Minnesota,role agents;market health
The Role of Agents and Brokers in the Market for Health Insurance,2013,Minnesota,role agents;market health
Physician Practice Organization and Negotiated Prices: Evidence from State Law Changes,2021,Boston,state law;organization;evidence;law changes
Physician Practice Organization and Negotiated Prices: Evidence from State Law Changes,2018,Boston,state law;organization;evidence;law changes
Testing for Wage Discrimination in U.S. Manufacturing,2012,Chicago,wage discrimination;testing wage
The Emergence of Wage Discrimination in U.S. Manufacturing,2011,Chicago,wage discrimination;manufacturing
The Paradox of Progress: The Emergence of Wage Discrimination in U.S. Manufacturing,2015,Chicago,wage discrimination;progress emergence
Offshoring Production while Offshoring Pollution?,2016,Michigan,offshoring;production
Offshoring Production or Offshoring Pollution?,2014,Michigan,offshoring;production
Offshoring Pollution while Offshoring Production,2017,Michigan,offshoring;production
"Public vs. Private Firms: Energy Efficiency, Toxic Emissions and Abatement Spending",2018,Michigan,vs private;firms;abatement spending;efficiency
Offshoring Pollution while Offshoring Production,2015,Michigan,offshoring;production
"Access to Credit, Market Selection, and Economic Growth",2012,Triangle,selection economic;market selection
Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach,2017,Minnesota,teams acquisition;talent sided
"Employee Mobility, Employee Entrepreneurship, and Employee Value Capture: Labor Market Frictions and the Impact of Social Comparison Costs on Compensation",2018,Minnesota,employee;value capture;capture labor;comparison;compensation;costs;entrepreneurship;frictions
Entrepreneurial teams' acquisition of talent: Evidence from technology manufacturing industries using a two-sided approach,2023,Minnesota,using sided;manufacturing;acquisition talent;approach;entrepreneurial
Signals or Shackles? The Effect of Patents on Inventor Mobility and Entrepreneurship ,2017,Minnesota,signals shackles;shackles effect;patents inventor
Entrepreneurial Teams' Human Capital: From its Formation to its Impact on the Performance of Technological New Ventures,2015,Minnesota,ventures;impact;capital formation;entrepreneurial;human
From Common Ground to Breaking New Ground: Founding Team's Prior Shared Experience and Start-Up Performance,2014,Minnesota,ground;team prior;breaking new;common;experience
Joining Forces: How Can Founding Members’ Prior Experience Variety and Shared Experience Increase Startup Survival?,2022,Minnesota,experience;variety;forces;founding;increase;joining
Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach,2016,Minnesota,teams acquisition;talent sided
Essays on Awards and Achievement,2018,Minnesota,essays awards;awards achievement
All in the Tails? Pre-Entry Knowledge and the Distribution of Startup Performance,2023,Minnesota,tails pre;startup performance
Can the Unemployed Borrow? Implications for Public Insurance,2018,USC,unemployed borrow;public insurance
The Impact of Consumer Credit Access on Self-Employment and Entrepreneurship,2018,USC,self employment;impact consumer
"Credit Markets, Resource Allocation and Aggregate Industry Productivity",2015,USC,resource allocation;productivity;markets resource
"The Impact of Consumer Credit Access on Employment, Earnings and Entrepreneurship",2016,USC,impact consumer;entrepreneurship;employment earnings
"How Credit Constraints Impact Job Finding Rates, Sorting and Aggregate Output",2016,USC,sorting aggregate;finding rates;aggregate output;constraints
The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity,2018,USC,reallocation aggregate;productivity;labor reallocation
The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity,2017,USC,reallocation aggregate;productivity;labor reallocation
The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity,2016,USC,reallocation aggregate;productivity;labor reallocation
Can the Unemployed Borrow? Implications for Public Insurance,2020,USC,unemployed borrow;public insurance
The impact of consumer credit access on self-employment and entrepreneurship,2021,USC,self employment;impact consumer
The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity,2015,USC,reallocation aggregate;productivity;labor reallocation
Can the Unemployed Borrow? Implications for Public Insurance,2022,USC,unemployed borrow;public insurance
"How Credit Constraints Impact Job Finding Rates, Sorting and Aggregate Output",2016,USC,sorting aggregate;finding rates;aggregate output;constraints
Public and Private Merger Waves,2013,USC,waves;public private
Productivity Growth and Efficiency Analysis in US Food Manufacturing Industry: Exporters and Firm-level Characteristics,2020,Penn State,productivity growth;food;characteristics;efficiency
"Efficiency and Productivity Growth in US Food Manufacturing Industries: Exporters, Ownership Changes and Firm Characteristics",2023,Penn State,productivity growth;food;changes firm;characteristics;efficiency
The Determinants of Quality Specialization,2017,Chicago,specialization;quality
The Determinants of Quality Specialization,2014,Chicago,specialization;quality
The Determinants of Quality Specialization,2016,Chicago,specialization;quality
The Determinants of Quality Specialization,2015,Chicago,specialization;quality
Has Falling Crime Invited Gentrification?,2017,Baruch,invited gentrification;falling crime
