project_id,project_pi,project_title,reason
2894,Erin Hofmann,"COVID-19 Outbreaks, Immigration Enforcement, and Demographic Change in the Rural United States",No research outputs found
2910,Samuel Antill,Bankruptcy in the U.S.,No research outputs found
2912,Katharine Sadowski,Trends and Turnover in the Early Childhood Labor Market,No research outputs found
2925,Greer Mellon,How Much do Firm Differences Contribute to the Gender Pay Gap? Examining Gender Inequality across the Earnings Distribution from the 1990s-Present,No research outputs found
2931,Naoka Carey,"Exploring the relationship between family member criminal justice involvement, family well-being and young adult outcomes",No research outputs found
2934,Theresa Osypuk,"The influence of a housing voucher experiment and neighborhood context on mortality, fertility, housing, family formation, and demographic outcomes after 30 years",No research outputs found
2941,Jason DeBacker,Special Economic Zone Designations to Enhance Economic Development,No research outputs found
2957,Nikhil Rao,Examining Interventions to Improve the Post-Release Outcomes of Incarcerated Individuals,No research outputs found
2961,Geoffrey Kocks,School Desegregations and Long-Run Health Among African Americans,No research outputs found
2962,Razvan Vlaicu,Financial Inclusion of Latin American Immigrants in the United States,No research outputs found
2966,Stephan Goetz,How Productivity and Employment Growth are Associated with Innovation and the Impact of Design on Innovation and Firm Growth,No research outputs found
2968,Kateryna Holland,M&A Premium and Labor Force Restructuring,No research outputs found
2977,Andra Ghent,The Best Cities for Firms,No research outputs found
2981,Dean Corbae,"Composition of external finance, information, and firm ownership",No research outputs found
3010,Paulo Lins,Labor Demand and Firms' Discount Rates,No research outputs found
3012,Cameron W Healy,"Merger Impacts on Productivity, Markups, and Beyond",No research outputs found
3019,Mathew V Kiang,"Incarceration and mortality in the United States, 2008-2015",No research outputs found
3039,Nathaniel A Pancost,"Financing, Market Power, and Inequality",No research outputs found
3067,Pietro Pellerito,Firm Behavior to Dual Minimum Wage Policies,No research outputs found
3075,Sara Malik,CEO-to-Median Worker Pay Ratio and Employee Movements,No research outputs found
3081,Andrew Stokes,Leveraging novel data linkages to predict mortality trends within the US population,No research outputs found
